"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5461","alter-003修改正常状态用户后账号可正常登录","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","92","login-api-024账号为""""","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","1120","add-005点击添加用户，刷新页面","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","79","login-api-014请求体传空字符串","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","79","login-api-015请求体传空数组","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","467","login-006密码限制非英文数字符号","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","5010","del-003删除指定用户有弹窗提示","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","180","login-api-031密码中间包含中文特殊符号","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","219","login-005账号包含非英文数字","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","6710","add-003只填必填项，但停用账号","testCases.web","2026-04-13","failed","2026-04-13","","test_user_manage","",""
"","2939","login-040登录成功两次，注销登录一次","testCases.web","2026-04-13","broken","2026-04-13","","test_user_manage","",""
"","2833","add-011同一用户名称重复添加提示已存在","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","86","select-api-006url前写错字母","testCases.api","2026-04-13","passed","2026-04-13","TestSelectId","test_api_SelectUser","",""
"","91","login-api-002请求方法非法","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","283","login-api-008请求头多写头","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","68","login-025密码在界面掩码显示","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","499","login-010密码包含空格","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","304","login-api-018不合要求格式","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","321","login-api-005url参数拼接","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","319","login-038登录页面返回后前进，再登录输入不正确账号","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","94","select-api-004指定id为负数","testCases.api","2026-04-13","passed","2026-04-13","TestSelectId","test_api_SelectUser","",""
"","490","login-008密码大小写未正确区分","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","79","login-api-004请求方法其他方法","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","278","login-api-021code为空","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","88","login-api-030账号中间包含中文特殊符号","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","7498","add-010添加用户成功后点击新增按钮弹窗内容清空","testCases.web","2026-04-13","failed","2026-04-13","","test_user_manage","",""
"","87","login-api-016请求体传空对象","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","90","login-api-006请求格式不写json","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","88","select-api-005url写错字母","testCases.api","2026-04-13","passed","2026-04-13","TestSelectId","test_api_SelectUser","",""
"","190","login-003账号中间包含空格","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","556","login-007密码左右两边包含空格","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","1297","add-004只填必填项，点击取消","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","184","login-api-033密码左右有空格","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","92","login-api-017传中文特殊符号","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","95","select-api-001有token，人存在","testCases.api","2026-04-13","passed","2026-04-13","TestSelectId","test_api_SelectUser","",""
"","82","login-api-003url写错字母","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","228","login-009密码为空","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","5010","del-001删除指定common用户","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","361","login-api-001所有数据都填写，填写正确账号密码，code，uuid任意值","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","86","login-api-023请求体不写","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","111","select-api-010查询的不存在","testCases.api","2026-04-13","passed","2026-04-13","TestSelectId","test_api_SelectUser","",""
"","203","login-api-034密码未区分大小写","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","3924","add-007添加停用状态用户后账号无法登录","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","82","login-api-025密码为""""","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","90","login-api-027密码为"" ""","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","3319","del-002删除指定用户不能登录","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","277","login-api-022uuid为空","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","117","select-api-003指定id为0","testCases.api","2026-04-13","passed","2026-04-13","TestSelectId","test_api_SelectUser","",""
"","2114","login-029记住密码","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","1455","alter-002修改指定用户界面，点击取消","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","277","login-api-036账号不区分大小写","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","85","login-api-020密码为空","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
"","68","login-027页面显示正常","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","1540","alter-001修改指定用户，只填必填值","testCases.web","2026-04-13","passed","2026-04-13","","test_user_manage","",""
"","328","login-api-009请求头的host为任意值","testCases.api","2026-04-13","passed","2026-04-13","TestLogin","test_api_Login","",""
